country,year,value
Canada & Mexico,1990,0.0
Canada & Mexico,1991,0.0
Canada & Mexico,1992,0.0
Canada & Mexico,1993,0.0
Canada & Mexico,1994,0.0
Canada & Mexico,1995,0.0
Canada & Mexico,1996,0.0
Canada & Mexico,1997,0.0
Canada & Mexico,1998,0.0
Canada & Mexico,1999,0.0
Canada & Mexico,2000,0.0
Canada & Mexico,2001,0.0
Canada & Mexico,2002,0.0
Canada & Mexico,2003,0.0
Canada & Mexico,2004,0.185
Canada & Mexico,2005,0.555
Canada & Mexico,2006,1.48
Canada & Mexico,2007,3.034
Canada & Mexico,2008,3.108
Canada & Mexico,2009,3.589
Canada & Mexico,2010,3.737
Canada & Mexico,2011,3.922
Canada & Mexico,2012,5.32119810622697
Canada & Mexico,2013,4.25362117295386
Canada & Mexico,2014,8.14239103201302
Canada & Mexico,2015,10.2010198358405
Canada & Mexico,2016,14.2692233288053
Canada & Mexico,2017,16.5730974202581
Canada & Mexico,2018,13.2814001427129
Canada & Mexico,2019,16.2073532783087
US,1990,0.0
US,1991,0.0
US,1992,0.0
US,1993,0.0
US,1994,0.0
US,1995,0.0
US,1996,0.0
US,1997,0.0
US,1998,0.0
US,1999,0.0
US,2000,0.0
US,2001,1.06867147100424
US,2002,1.30635565063649
US,2003,1.77056853606789
US,2004,3.48667233946252
US,2005,11.3123954384724
US,2006,31.2057952899576
US,2007,61.0342907001414
US,2008,84.4949354936351
US,2009,64.271154582744
US,2010,42.7947338048091
US,2011,120.552295756719
US,2012,123.446836633663
US,2013,169.394064639321
US,2014,159.366211598303
US,2015,157.418425884017
US,2016,195.345838472419
US,2017,198.832164780764
US,2018,231.429871287129
US,2019,214.853714285714
Brazil,1990,0.0
Brazil,1991,0.0
Brazil,1992,0.0
Brazil,1993,0.0
Brazil,1994,0.0
Brazil,1995,0.0
Brazil,1996,0.0
Brazil,1997,0.0
Brazil,1998,0.0
Brazil,1999,0.0
Brazil,2000,0.0
Brazil,2001,0.0
Brazil,2002,0.0
Brazil,2003,0.0
Brazil,2004,0.0
Brazil,2005,0.0242268919627331
Brazil,2006,2.27133695545178
Brazil,2007,13.309286685326
Brazil,2008,38.4183206014685
Brazil,2009,52.9322368224849
Brazil,2010,78.9109371593549
Brazil,2011,87.979165456127
Brazil,2012,89.4513139287553
Brazil,2013,96.0348730687097
Brazil,2014,112.570714342458
Brazil,2015,129.602976482634
Brazil,2016,125.128572373266
Brazil,2017,141.256407769463
Brazil,2018,176.105804348672
Brazil,2019,194.245169845033
Other S. & Cent. America,1990,0.0
Other S. & Cent. America,1991,0.0
Other S. & Cent. America,1992,0.0
Other S. & Cent. America,1993,0.0
Other S. & Cent. America,1994,0.0
